"Twilight","Rise","Deleted","Marker","Inserted"
2019-02-25 22:30:44.632494,TRUE,FALSE,0,FALSE
2019-02-26 10:58:43.615297,FALSE,FALSE,0,FALSE
2019-02-26 22:35:02.533285,TRUE,FALSE,0,FALSE
2019-02-27 10:55:20.231654,FALSE,FALSE,0,FALSE
2019-02-27 22:35:02.533285,TRUE,FALSE,0,FALSE
2019-02-28 10:54:52.313857,FALSE,FALSE,0,FALSE
2019-02-28 22:39:31.440013,TRUE,FALSE,0,FALSE
2019-03-01 10:51:53.367506,FALSE,FALSE,0,FALSE
2019-03-01 22:33:21.074629,TRUE,FALSE,0,FALSE
2019-03-02 10:49:18.925371,FALSE,FALSE,0,FALSE
2019-03-02 22:35:03.533285,TRUE,FALSE,0,FALSE
2019-03-03 10:59:22.467478,FALSE,FALSE,0,FALSE
2019-03-03 22:33:21.074629,TRUE,FALSE,0,FALSE
2019-03-04 10:56:54.367506,FALSE,FALSE,0,FALSE
2019-03-04 22:32:46.686143,TRUE,FALSE,0,FALSE
2019-03-05 10:56:54.367506,FALSE,FALSE,0,FALSE
2019-03-05 23:07:46.686143,TRUE,FALSE,0,FALSE
2019-03-06 10:48:07.559987,FALSE,FALSE,0,FALSE
2019-03-06 22:40:45.632494,TRUE,FALSE,0,FALSE
2019-03-07 10:46:54.367506,FALSE,FALSE,0,FALSE
2019-03-07 22:48:21.074629,TRUE,FALSE,0,FALSE
2019-03-08 10:54:53.313857,FALSE,FALSE,0,FALSE
2019-03-08 22:28:22.074629,TRUE,FALSE,0,FALSE
2019-03-09 10:54:19.925371,FALSE,FALSE,0,FALSE
2019-03-09 22:37:47.686143,TRUE,FALSE,0,FALSE
2019-03-10 10:56:55.367506,FALSE,FALSE,0,FALSE
2019-03-10 22:32:47.686143,TRUE,FALSE,0,FALSE
2019-03-11 10:45:11.692795,FALSE,FALSE,0,FALSE
2019-03-11 23:05:04.533285,TRUE,FALSE,0,FALSE
2019-03-12 10:47:37.466715,FALSE,FALSE,0,FALSE
2019-03-12 22:50:04.533285,TRUE,FALSE,0,FALSE
2019-03-13 10:42:32.055495,FALSE,FALSE,0,FALSE
2019-03-13 22:40:04.533285,TRUE,FALSE,0,FALSE
2019-03-14 10:32:32.055495,FALSE,FALSE,0,FALSE
2019-03-14 22:38:22.074629,TRUE,FALSE,0,FALSE
2019-03-15 10:44:24.467478,FALSE,FALSE,0,FALSE
2019-03-15 23:13:23.074629,TRUE,FALSE,0,FALSE
2019-03-16 10:47:38.466715,FALSE,FALSE,0,FALSE
2019-03-16 22:30:05.533285,TRUE,FALSE,0,FALSE
2019-03-17 10:40:23.231654,FALSE,FALSE,0,FALSE
2019-03-17 22:33:57.384703,TRUE,FALSE,0,FALSE
2019-03-18 10:44:20.925371,FALSE,FALSE,0,FALSE
2019-03-18 22:40:47.632494,TRUE,FALSE,0,FALSE
2019-03-19 10:45:30.332559,FALSE,FALSE,0,FALSE
2019-03-19 22:25:10.944505,TRUE,FALSE,0,FALSE
2019-03-20 10:53:09.559987,FALSE,FALSE,0,FALSE
2019-03-20 22:23:57.384703,TRUE,FALSE,0,FALSE
2019-03-21 10:47:38.466715,FALSE,FALSE,0,FALSE
2019-03-21 22:30:48.517936,TRUE,FALSE,0,FALSE
2019-03-22 10:41:57.367506,FALSE,FALSE,0,FALSE
2019-03-22 22:24:35.440013,TRUE,FALSE,0,FALSE
2019-03-23 10:34:10.192166,FALSE,FALSE,0,FALSE
2019-03-23 22:38:24.074629,TRUE,FALSE,0,FALSE
2019-03-24 10:37:39.466715,FALSE,FALSE,0,FALSE
2019-03-24 22:35:48.632494,TRUE,FALSE,0,FALSE
2019-03-25 10:49:10.192166,FALSE,FALSE,0,FALSE
2019-03-25 22:45:06.533285,TRUE,FALSE,0,FALSE
2019-03-26 10:35:13.692795,FALSE,FALSE,0,FALSE
2019-03-26 22:35:06.533285,TRUE,FALSE,0,FALSE
2019-03-27 10:42:39.466715,FALSE,FALSE,0,FALSE
2019-03-27 22:35:06.533285,TRUE,FALSE,0,FALSE
2019-03-28 10:42:39.466715,FALSE,FALSE,0,FALSE
2019-03-28 22:12:10.530224,TRUE,FALSE,0,FALSE
2019-03-29 10:29:22.925371,FALSE,FALSE,0,FALSE
2019-03-29 22:20:07.533285,TRUE,FALSE,0,FALSE
2019-03-30 10:30:14.692795,FALSE,FALSE,0,FALSE
2019-03-30 22:00:49.632494,TRUE,FALSE,0,FALSE
2019-03-31 10:34:22.925371,FALSE,FALSE,0,FALSE
2019-03-31 22:23:25.074629,TRUE,FALSE,0,FALSE
2019-04-01 10:32:40.466715,FALSE,FALSE,0,FALSE
2019-04-01 21:57:33.307205,TRUE,FALSE,0,FALSE
2019-04-02 10:49:22.925371,FALSE,FALSE,0,FALSE
